Gene Symbol
ANKRD22
ANTXR2
AP1M2
AP1M2
AXL
BSPRY
BSPRY
C3orf21
CARD6
CDH1
CDH3
CDS1
CDS1
CDS1
Cl orf172
CLDN4
CLDN7
Clorf116
CRB3
DSP
ELMO3
ENPP5
EPB41 L5
EPHA1
EPN3
EPN3
EPPK1
EPPK1
ERBB3
EVPL
F11R
FN1
FN1
FXYD3
GALNT3
GALNT5
GPR110
GPR56
GRHL1
GRHL2
HNMT
HNMT
INADL
ITGB6
KLC3
KRT19
KRTCAP3
LIX1L
LRRC54
MAL2
MAPK13
MMP2
MPP7
MPZL2
MTAC2D1
MUC1
NRP1
PPARG
PRR5
PRR5
PRSS22
PRSS8
RAB25
RBM35A
RBM35A
RBPMS
S100A14
SCNN1A
SERINC2
SH3YL1
SHROOM3
SPINT2
SSH3
ST14
ST14
STAP2
TACSTD1
TACSTD2
TGFBI
TJP3
TMC4
TMEM125
TMEM30B
TMEM45B
TNFRSF21
VIM
ZEB1
ZEB1
